FISCAL_DAY,UA_SPEND,CPI,PAID_INSTALL_TO_REG,ORGANIC_TO_PAID_REG,REG_TO_PU
2024-06-15,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-16,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-17,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-18,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-19,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-20,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-21,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-22,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-23,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-24,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-25,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-26,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-27,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-28,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-29,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-30,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-07-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-08-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-01,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-02,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-03,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-04,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-05,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-06,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-07,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-08,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-09,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-10,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-11,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-12,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-13,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-14,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-15,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-16,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-17,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-18,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-19,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-20,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-21,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-22,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-23,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-24,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-25,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-26,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-27,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-28,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-29,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-09-30,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
